Title,Authors,Description,Category,Publisher,Price Starting With ($),Publish Date (Month),Publish Date (Year)
Ripken: Cal on Cal,"By Ripken, Cal, Jr., Iooss, Walter (PHT), and Vancil, Mark (EDT)","Calvin Edwin Ripken Jr. was voted American League Rookie of the Year in 1982, and in the following year was named the league's Most Valuable Player - an award he received again in 1991.Named to his league's All-Star team twelve times, he has been a consistent offensive force, amassing more career home runs than any other shortstop, and he has fielded his position with captivating skill. In one season (1990) he played every inning and committed only three errors, attaining the highest fielding percentage (.996) of any shortstop in any year.The statistical achievements of Cal Ripken are one legend still in the making. How this Maryland lad grew into a star performer and spiritual inspiration for his teammates and opponents also is the stuff of legend. Here is the Cal Ripken story in pictures and in his own words, modest but forthright like the man himself."," Biography & Autobiography , General",Summit Publishing Group,8.79,January,1997
German in 32 Lessons (Gimmick Series),By Adrienne,,,W W Norton & Co Inc,5.29,January,1979
24 Essential Lessons for Investment Success: Learn the Most Important Investment Techniques from the Founder of Investor's Business Daily,"By O'Neil, William J.","The Wall Street Journal, New York Times, BusinessWeek, and USA Today Business Bestseller!From the publisher of Investor's Business Daily and best-selling author of How to Make Money in Stocks, comes the National Bestseller, 24 Essential Lessons for Investment Success, two dozen of the most important lessons for investors. In this one accessible guide, William J. O'Neil puts his popular and easy-to-follow techniques for building a profitable portfolio firmaly in the hands of investors­­and the goal of long-term financial security easily within their reach.24 Essential Lessons for Investment Success is based upon the closely followed ""26 Weeks to Investment Success"" editorials that appear in Investor's Business Daily. Edited and updated, O'Neil's timeless advice encapsulates such investing nuggets as buy high and sell higher to making a million in mutual funds. Concentrate your investments in a few areas, know them well, and watch them carefully.Don't just rely upon PE ratios and other common technical tools. Learn to use Relative Price Strength to help you choose stocks. O'Neil's cautionary yet pro-active advice has helped to make Investor's Business Daily one of America's fastest growing and most respected newspapers. Now investor's can benefit from his timeless words of wisdom, collected in one easy-to-use resource."," Business & Economics , Personal Finance , Investing",McGraw-Hill,4.99,December,1999
Many Waters,"By L'Engle, Madeleine","When twins Sandy and Dennys Murry accidentally interrupt one of their father's experiments, they are hurtled out of their ordinary world, across time and space into a mysterious desert land populated by unicorns, seraphim, and other mythic creatures",,Laurel Leaf,5.29,August,1987
The Last Debate:  A Novel of Politics and Journalism,"By Lehrer, James, Smith, Peter (EDT), and Osnos, Peter","Tom Chapman's reporting begins innocently enough. It's the eve of the one and only presidential debate, and he's been sent to Colonial Williamsburg by his magazine, The New American Tatler, to cover the event. An important assignment, but pretty routine for a journalist of Chapman's abilities.The campaign itself, however, has been anything but routine. The American people face an impossible choice between apparent evil and apparent incompetence: The Republican candidate, David Donald Meredith, a handsome, charismatic figure and a riveting speaker, is a fundamentalist demagogue, a nativist, and probably a racist - none but the most fervent ideologues doubts that his election would tear the country apart. The Democrat, Paul L. Greene, is everything Meredith is not - liberal, earnest, and utterly colorless - and is so far behind in the polls that he has all but conceded the race weeks before the election.As the handlers, the press corps, the camera crews, and the campaign operators assemble in Williamsburg for the final battle of the campaign, a different sort of battle is taking place on the debate panel. Reporters have been given devastating anonymous reports about Meredith's personal life. There's no time to check them out, but using them could throw the election to Greene. In utter secrecy, a decision is made. By the time the debate is over, American politics and journalism have been changed forever and the four panelists have vaulted to mega-stardom. And Tom Chapman is hot on the trail of the biggest story of his career: the debate behind the last debate."," Fiction , Political",Random House,4.99,August,1995
"Parents in Charge: Setting Healthy, Loving Boundaries for You and Your Child","By Chidekel, Dana","How many times have you said, ""How many times do I have to tell you...?"" Why do the terrible twos exist and what makes them so terrible -- and for whom? In Parents in Charge, Dr. Dana Chidekel answers these questions while providing a road map to raising children who will become competent, responsible, thoughtful, and successful adults.  Full of uncommon wisdom and common sense, based solidly in developmental theory and the most recent brain research, this empowering guide offers practical solutions to everyday parenting dilemmas: What is effective discipline, and when and how do you use it? How do you promote real self-esteem in kids? How can you stop saying no all the time? With honesty and simplicity, Dr. Chidekel also tackles hot-button topics of current parenting practice, including children's calling adults by their first names, out-of-control birthday parties, and the limits parents must put on their own behavior.  Enlivened with stories, anecdotes, and a healthy dose of humor, Parents in Charge gives you the tools you need to raise children that you -- and other people -- will love and enjoy."," Family & Relationships , Parenting , General",Simon & Schuster,5.29,January,2002
Prep (Junior Library Guild Selection),"By Coburn, Jake","Nick and his friends have every advantage: expensive clothes, beautiful homes in Manhattan, peerless private-school educations. However, beneath the picture-perfect veneer lies a violent subculture that is gritty and dangerous, with binge drinking, heavy drug use, casual sex, vandalism, and gangs. Nick is in love with his best friend, Kris, and imagines a future with her outside the violence of their circle. When Kris's younger brother becomes a gang target, Nick is compelled to navigate the complex politics of the prep world, come to terms with his past gang experience, and put his own life at risk. Brutally realistic, Prep is a powerful, gripping exposé of America's most affluent youth."," Young Adult Fiction , Social Themes , Friendship",Dutton Juvenile,5.29,September,2003
This Lullaby,"By Dessen, Sarah","From the award-winning and New York Times bestselling author of Once and for All   She’s got it all figured out.   Or does she? When it comes to relationships, Remy’s got a whole set of rules.   Never get too serious. Never let him break your heart. And never, ever date a musician.   But then Remy meets Dexter, and the rules don’t seem to apply anymore.   Could it be that she’s starting to understand what all those love songs are about?   “Remy and Dexter jump off the pages into the hearts of readers, who will wish for a romance like this of their own.” —Booklist  Sarah Dessen is the winner of the Margaret A. Edwards Award for her contributions to YA literature, as well as the Romantic Times Career Achievement Award. Books by Sarah Dessen:That SummerSomeone Like YouKeeping the MoonDreamlandThis LullabyThe Truth About Forever Just ListenLock and KeyAlong for the RideWhat Happened to GoodbyeThe Moon and MoreSaint AnythingOnce and for All"," Young Adult Fiction , Social Themes , Friendship",Speak,4.99,March,2004
"No mean city,: An inquiry into civic greatness,","By McKeldin, Theodore R",,,Author / Maryland Historical Society,10.1,January,1964
ROLLING THUNDER: Jet Combat From WW II to the Gulf War,"By Rendall, Ivan","""The jet fighter is one of the great icons of the second half of the twentieth century, a symbol of achievement, of technical excellence, of ultimate modernity, of latent military power.""  So begins Ivan Rendall, a former Royal Air Force pilot, in this thrilling first-ever history of the most seductive and deadly of all of man's weapons of war. From its birth in battle during the last days of World War II to its current aeronautical peak, the jet fighter has always been the king of the sky. Rendall's Rolling Thunder is the celebration of a machine, and a culture, for which ""winning is about accepting that there is no such thing as second-best.""  Rendall's scrupulous history is driven by a strong thesis: jets may depend upon technological advances, but the human edge supplied by their pilots has determined their success or failure in all times and places. In this respect, the West has triumphed over its enemies. Beginning with the dangerously fast but hopelessly outnumbered German Me 262, jets and the men who flew them quickly became potent physical and psychological weapons. From the ruins of a defeated Germany came the now-familiar look of swept-back wings and with them the secret of supersonic flight. Less than a decade later, the two World War II allies most responsible for Germany's defeat would meet as enemies in Korea. Their planes -- the American F-86 Saber and Russian MiG-15 -- clashed over the Yalu River in what American pilots called ""MiG Alley."" Diving from 40,000 feet and flying through dry riverbeds so low that their engines kicked up dirt, both sides' machines soon proved their worth.  In Vietnam, American fighter pilots involved in the costly ""Rolling Thunder"" campaign again proved the value of the American emphasis on individualism as taught in the ""Top Gun"" school of aeronautics. Rendall vividly describes pilots in F-4 Phantoms and F-105 Thunderchiefs dodging SA-2 surface-to-air missiles in the ""ultimate test of man versus machine.""  Recent uses of air power, from the legendary ""Instant Thunder"" campaign in the Gulf War to the enforcement of No-Fly Zones in Bosnia, have proved that the jet fighter remains as versatile and dangerous as ever. But today, with $100 million mach 3 machines capable of climbing 65,000 feet -- twice the height of Everest -- in a minute, many have argued that the pilot has become the weak link in the jet fighter's lethal equation. Rendall shows that the argument to remove the pilot from his machine -- seemingly complete with NASA's new unmanned X-36 -- is as old as the machine that broke the sound barrier, Chuck Yeager's X-1. The ability to balance the grace and brutality of a machine that has evolved into a perfect combination of form and function will remain the unique province of the fighter pilot -- the ""quintessential warrior of our times."""," Technology & Engineering , Military Science",Free Press,5.41,May,1999
The Everything Cover Letter Book (Everything),"By Graber, Steven and Lipsman, Mark","Parsing the allimportant cover letter, this career guide to crafting effective correspondance during a job search includes advice on writing cold letters, cover letters, thank letters, followup letters, and much more. Original. $250,000 ad/promo."," Business & Economics , General",Everything,5.35,April,2000
"Norman Mark's Chicago: Walking, bicycling & driving tours of the city","By Mark, Norman",,,Chicago Review Press,8.85,January,1987
Believing in Jesus,"By Foley, Leonard",,,St. Anthony Messenger Press,5.29,January,1985
Irish Druids and Old Irish Religions,"By Bonwick, James",," Religion , Ethnic & Tribal",Hippocrene Books,4.99,June,1986
Eat Smart for a Healthy Heart Cookbook,"By Cooley, Denton A., M.D. and Moore, Carolyn E.","More than 350 healthy yet appetizing recipes are incorporated into well-balanced menus that list nutritional values for low-sodium, low-fat, and low-cholesterol main courses, soups, salads, vegetable dishes and desserts. Reprint. LJ."," Cooking , Health & Healing , General","Barron's Educational Series, inc",6.12,March,1992
I Can Print A to Z (Wipe-off Activity Book--Reusable),By Enterprises Incorporated Trend,,,Trend Enterprises Inc,5.29,January,1997
1-2-3 Murals: Simple Murals to Make from Children's Open-Ended Art,"By Warren, Jean",,,"Warren Publishing House, Inc.",5.29,April,1989
A Book of Americans,"By Benet, Rosemary",,,"Farrar and Rinehart, inc",15.4,January,1933
The Pleasures of Watching Birds,"By Oberman, Lola and Swan, Joy (ILT)","The author shares her observations on various species of birds, answers questions about bird pests, and discusses bird counts and the care of injured birds"," Science , General",Walker & Co,5.29,June,1991
Young Men and Fire,"By MacLean, Norman","On August 5, 1949, a crew of fifteen of the United States Forest Service's elite airborne firefighters, the Smokejumpers, stepped into the sky above a remote forest fire in the Montana wilderness. Two hours after their jump, all but three of these men were dead or mortally burned. Haunted by these deaths for forty years, Norman Maclean puts back together the scattered pieces of the Mann Gulch tragedy.Young Men and Fire won the National Book Critics Circle Award in 1992.""A magnificent drama of writing, a tragedy that pays tribute to the dead and offers rescue to the living.... Maclean's search for the truth, which becomes an exploration of his own mortality, is more compelling even than his journey into the heart of the fire. His description of the conflagration terrifies, but it is his battle with words, his effort to turn the story of the 13 men into tragedy that makes this book a classic.""—from New York Times Book Review Editor's Choice, Best Books of 1992""A treasure: part detective story, part western, part tragedy, part elegy and wholly eloquent ghost story in which the dead and the living join ranks cheerfully, if sometimes eerily, in a search for truth and the rest it brings.""—Joseph Coates, Chicago Tribune""An astonishing book. In compelling language, both homely and elegant, Young Men and Fire miraculously combines a fascinating primer on fires and firefighting, a powerful, breathtakingly real reconstruction of a tragedy, and a meditation on writing, grief and human character.... Maclean's last book will stir your heart and haunt your memory.""—Timothy Foote, USA Today""Beautiful.... A dark American idyll of which the language can be proud.""—Robert M. Adams, The New York Review of Books""Young Men and Fire is redolent of Melville. Just as the reader of Moby Dick comes to comprehend the monstrous entirety of the great white whale, so the reader of Young Men and Fire goes into the heart of the great red fire and comes out thoroughly informed. Don't hesitate to take the plunge.""—Dennis Drabelle, Washington Post Book World""Young Men and Fire is a somber and poetic retelling of a tragic event. It is the pinnacle of smokejumping literature and a classic work of 20th-century nonfiction.""—John Holkeboer, The Wall Street Journal""Maclean is always with the brave young dead. . . . They could not have found a storyteller with a better claim to represent their honor. . . . A great book.""—James R. Kincaid, New York Times Book Review"," Nature , Plants , Trees",University of Chicago Press,4.99,January,1992
The Heritage of British Literature,"By Bowen, Elizabeth","Provides a critical analysis of the history of British writing in the fields of drama, poetry, fiction, and diaries",,Thames & Hudson,10.99,August,1986
Creating Sanctuary: A New Approach to Gardening in the Washington Metropolitan Area,"By Mitchell, Sherry",," Gardening , Landscape",Epm Pubns Inc,5.29,December,1996
Spain (Culture Shock! A Survival Guide to Customs & Etiquette),"By Graff, Marie Louise","Whether you travel for business, pleasure, or a combination of the two, the ever-popular ""Culture Shock!"" series belongs in your backpack or briefcase. Get the nuts-and-bolts information you need to survive and thrive wherever you go. ""Culture Shock!"" country guides are easy-to-read, accurate, and entertaining crash courses in local customs and etiquette. ""Culture Shock!"" practical guides offer the inside information you need whether you're a student, a parent, a globetrotter, or a working traveler. ""Culture Shock!"" at your Door guides equip you for daily life in some of the world's most cosmopolitan cities. And ""Culture Shock!"" Success Secrets guides offer relevant, practical information with the real-life insights and cultural know-how that can make the difference between business success and failure.Each ""Culture Shock!"" title is written by someone who's lived and worked in the country, and each book is packed with practical, accurate, and enjoyable information to help you find your way and feel at home."," Travel , Europe , Spain & Portugal",Graphic Arts Center Publishing Company,7.29,June,2001
The Metropolitan Museum of Art: The Cloisters; the Building and the Collection of Medieval Art in Fort Tryon Park,By James Joseph Rorimer,,,The Metropolitan Museum of Art,4.99,January,1951
Second Treatise of Government,By John Locke,,,Prentice Hall,5.29,June,1952
Worldwide Wonders,"By Harris, Tina",,,Education Insights,5.29,January,1986
Essential History of Art,By Editor,,,Dempsey,8.79,January,2000
Where to Find It in the Bible: The Ultimate A to Z Resource,By Ken Anderson,,,Thomas Nelson,8.79,April,1996
"The German Panzers, from Mark I to Mark V ""Panther"" - Armor Series 2","By Feist, Uwe",,,Aero Publishers,26.29,January,1966
What Makes a Goya a Goya?,"By Muhlberger, Richard","Takes a close-up look at key paintings by Francisco Goya, analyzing composition, line, color, subject matter, and the world in which he lived to define the characteristics of his work"," Young Adult Nonfiction , Art , General",Viking Juvenile,4.99,December,1994
How to Be Your Dog's Best Friend: A Training Manual for Dog Owners,"By Monks, New Skete",,,Little Brown,5.29,October,1978
Let Freedom Ring: Winning the War of Liberty over Liberalism,"By Hannity, Sean","As Americans, we face two fundamental questions:First, are we truly prepared to fight this new war to wipe out terrorism and terrorist regimes, and win it decisively—no matter what sacrifices it requires or how long it takes?Second, are we once again prepared to teach our children the fundamental principles and values that make this country great—the values that make this country worth fighting for, living for, and dying for?Sean Hannity is the hottest new phenomenon in TV and talk radio today. His gutsy, take-no-prisoners interviews and commentary on the Fox News Channel's Hannity & Colmes have made him one of cable television's most popular personalities. And his ascendance to the top of the talk radio world with ABC Radio's The Sean Hannity Show has won him a huge and devoted following that includes not only conservatives but anyone else who values straight talk over pandering and excuses.Now, in Let Freedom Ring, Sean Hannity offers a survey of the world—political, social, and cultural—as he sees it. Devoting special attention to 9/11, the war on terror, and the continuing threat we face at home and abroad, he makes clear that the greatest challenge we have to overcome may not be an attack from overseas, but the slow compromising of our national character. And he asks why, particularly in this time of war, should we entrust our future to the voices of the Left—the very people who have spent decades ravaging so many of our core values and traditions?Our nation, as Hannity reminds us, was founded on the idea of freedom. And in order to protect our freedoms, he argues, we must stand vigilant against liberal attempts to compromise our strengths. From our military and intelligence forces, to our borders and airports, to our unified commitment to root out terrorists at home and abroad, he reveals how our strongest lines of defense have come under attack—by left-wing voices within our government, media, schools, and elsewhere. And he shows how even domestic issues like taxation, education, patriotism, and the family have been exploited by liberals with their own agendas—with potentially disastrous results.Filled with the commonsense commentary and passionate argument that have made Sean Hannity the most compelling conservative voice since Rush Limbaugh, Let Freedom Ring is an urgent call to arms. For, as Hannity warns, ""We are engaged in a war of ideas. And civilization is at stake."""," Political Science , Terrorism",William Morrow,4.99,August,2002
When All Hell Breaks Loose,"By Spencer, Camika","It's a Sunday morning, and while most people are thinking about getting the paper and breakfast, Gregory Alston has something other than eggs on his mind.  Today he's going to propose to Adrian Jenkins, his girlfriend of three years.  But when he actually does, all hell breaks loose and he gets a lot more than he bargained for.  His mother returns from France, where she's been living as a jazz singer since leaving her family in Texas nearly twenty years ago.  His Holy Roller sister, Shreese, complains that Adrian is too ""worldly"" for him, even though she herself is falling for the shady, charismatic pastor of her church.  And his boys-who run the gamut from player to buffoon-react to the news of his engagement with grief and disbelief. And if that's not enough, he's got Adrian, who has more skeletons in her closet than a haunted house.  What's a brother to do? When All Hell Breaks Loose is a debut novel about black twenty-somethings that is fast and funny.  It's also a peek into the minds of young black men.  Camika Spencer won't just have you laughing-she'll have you looking in the mirror to see if she's talking about you."," Fiction , Humorous , General",St. Martin's Griffin,5.29,October,2000
"Gorgias (The Penguin Classics, L94)","By Plato and Hamilton, Walter","Taking the form of a dialogue between Socrates, Gorgias, Polus and Callicles, the Gorgias debates crucial questions about the nature of government. While the aspiring politician Callicles propounds the view that might is right, and the rhetorician Gorgias argues that oratory and the power to persuade represent 'the greatest good', Socrates insists on the duty of politicians to consider the welfare of their citizens - a duty he believed had been dishonoured in the Athens of his time. The dialogue offers insights into how classical Athens was governed, as well as creating a theoretical framework that has been highly influential on subsequent political debate."," Philosophy , General",Viking Pr,5.29,June,1971
Quiet Times for Couples,"By Wright, H. Norman",Offers spiritual inspiration for couples to help them cope with the demands of daily life," Religion , Devotional",Harvest House Publishers,5.41,July,1997
"Herds of Thunder, Manes of Gold","By Coville, Bruce","A collection of seventeen stories, poems, and excerpts from books about horses, by well-known authors over several centuries.A collection of seventeen stories, poems and excerpts from books about horses by well-known authors over several centuries",,Doubleday Books for Young Readers,5.29,May,1991
Transitions: Making Sense of Life's Changes,"By Bridges, William","Whether switching jobs or moving house, leaving school or retiring, change brings both opportunities and turmoil. Most of us struggle through such periods. This classic book shows how making a successful transition lets you recognize and seize new opportunities. Transitions has helped hundreds of thousands of readers to cope with changes by providing a road map of the transition process. With the understanding born of experience, William Bridges takes us step by step through the three stages of transition:Endings. Recognize endings as opportunities as well as losses, and even celebrate them with rituals designed to open new doors.The Neutral Zone. In this seemingly unproductive ?time-out,' we feel disconnected from the past and emotionally unconnected to the present. The most frightening stage of transition, the Neutral Zone is really an important time for reorientation.The New Beginning. A successful transition requires more than persevering: it means launching new priorities. Understand the external and internal signs that point the way to your future."," Psychology , Developmental , Lifespan Development",Da Capo Lifelong Books,4.99,January,1980
Beginner's Guide to Golf,"By Lumb, Nick","A practical introduction to the principles and techniques of golf that demonstrates the correct aim, grip, stance, body alignment, posture and swing for any situation, identifies common problems, and provides a concise survey of equipment"," Sports & Recreation , Golf",Gallery Books,10.99,August,1989
"I am the fox,",By Winifred Van Etten,,,"Little, Brown and Company",146.13,January,1936
Secretaries of war and secretaries of the army: Portraits & biographical sketches (CMH pub),"By Bell, William Gardner",,,"For sale by the U.S. G.P.O., Supt. of Docs",4.99,January,1992
A Contest of Faiths: Missionary Women and Pluralism in the America Southwest,"By Yohn, Susan M.","Susan M. Yohn here reconstructs the interactions between Presbyterian women missionaries in the southwest and the native Hispanic-Catholic people they set out to ""Americanize"" between 1867 and 1924. In the process, she reveals how many Protestant women reformers shared a series of experiences that contributed to a national dialogue about cultural pluralism."," Religion , General",Cornell University Press,4.99,May,1995
The Single Parent's Money Guide,"By Card, Emily and Kelly, Christie Watts","Whether you're a single parent by choice or because of unexpected family circumstances, you may not be prepared for the many legal and financial responsibilities you must confront. This book will help you manage one of the hardest jobs in the world. Using her own experiences as a single parent as well as her professional skills as a lawyer, Emily Card will help you better manage your family's financial life. With useful quizzes, checklists, and advice boxes for you and your children, this book will show you how to negotiate alimony and child support, save money on household expenses, cope with emergencies such as job loss or medical catastrophe, find out what insurance coverage you need for your family, involve your children in setting financial goals, name a guardian for your children and write a will."," Business & Economics , Personal Finance , General",Macmillan General Reference,4.99,October,1996
F2f,"By Finch, Phillip","The Verba Interchange is an electronic bulletin board, a virtual meeting place where anyone with a computer and a modem can exchange views, flirt, or argue with complete anonymity. But an ingenious serial killer is using the vast potential of the Net to choose victims for a deadly f2f - a face-to-face meeting."," Fiction , General",Bantam,4.99,March,1996
Freud's Wishful Dream Book,"By Welsh, Alexander","Although it is customary to credit Freud's self-analysis, it may be more accurate, Alexander Welsh argues, to say that psychoanalysis began when The Interpretation of Dreams was published in the last weeks of the nineteenth century. Only by going public with his theory--that dreams manifest hidden wishes--did Freud establish a position to defend and embark upon a career. That position and career have been among the most influential in this century. In August 1899, Freud wrote to Wilhelm Fliess of the dream book in terms reminiscent of Dante's Inferno. Beginning from a dark wood, this modern journey features ""a concealed pass though which I lead the reader--my specimen dream with its peculiarities, details, indiscretions, bad jokes--and then suddenly the high ground and the view and the question, Which way do you wish to go now?"" Physician that he is, Freud appoints himself guide rather than hero, yet the way ""you"" wish to go is very much his prescribed way. In Welsh's book, readers are invited on Freud's journey, to pause at each concealed pass in his seminal work and ask where the guide is taking them and why. Along the way, Welsh shows how Freud's arbitrary turnings are themselves wishful, intended to persuade by pleasing the reader and author alike; that his interest in secrets and his self-proclaimed modest ambition are products of their time; and that the book may best be read as a romance or serial comedy. ""Some of the humor throughout,"" Welsh notes, ""can only be understood as a particular kind of fine performance."" Welsh offers the first critical overview of the argument in Freud's masterpiece and of the author who presents himself as guide."," Literary Collections , American , General",Princeton University Press,18,September,1994
Ingenious Inventions of Domestic Utility,"By Bragdon, Allen D.","Shows examples of antique American household utensils, describes their function, and looks at nineteenth century home life",,HarperCollins,5.29,December,1989
Complete Idiot's Guide to Parenting Your Teenager (The Complete Idiot's Guide),"By Kelly, Kate","The Complete Idiot's Guide to Parenting a Teenager teaches you how to navigate adolescence successfully with your teen. Feel confident about knowing when to lay down the law, when to bend the rules, and when to let go. In this Complete Idiot's Guide you'll find solid information on becoming an effective and respected parent; friendly advice in an easy-to-understand format; tips, definitions, and warnings to help you along the way; and clear illustrations that show you exactly what to do!"," Social Science , Sociology , Marriage & Family",Alpha,5.29,September,1996
The Antiques Care & Repair Handbook,"By Jackson, Albert and Day, David","Eight hundred photographs and drawings complement authoritative, informative guidelines to the maintenance and repair of practically every kind of old or valuable object, from books to pottery and textiles"," Antiques & Collectibles , Care & Restoration",Knopf,4.99,May,1984
Great Pyramid: Its Secrets & Mysteries Revealed,"By Smyth, Charles Piazzi","Intriguing look into the architecture and construction of the Great Pyramid at Giza.  Full of details, dimensions, and amazing insights into its occult meanings and mysteries.  Facsimile of a beautiful, rare 1880 volume.  Over 40 black and white illustrations.  702 pages."," History , World",Bell Publishing Co.,6.36,October,1978
Holy War Inc. Inside the Secret World of Osama Bin Laden,"By Bergen, Peter L.","On September 11, 2001, the world in which we live was changed forever. The twin towers of the World Trade Center came crashing down, one side of the Pentagon burst into flame, and more than six thousand men, women, and children lost their lives in the most deadly terrorist attack on American soil. As shocking as it was, it had been long in the making: The assault was the most sophisticated and horrifying in a series of operations masterminded by Osama bin Laden and his Jihad group -- an organization that CNN's terrorism analyst Peter Bergen calls Holy War, Inc.  One of only a handful of Western journalists to have interviewed the world's most wanted man face to face, Peter Bergen has produced the definitive book on the Jihadist network that operates globally and in secrecy. In the course of four years of investigative reporting, he has interviewed scores of insiders -- from bin Laden associates and family members to Taliban leaders to CIA officials -- and traveled to Afghanistan, Yemen, Egypt, Pakistan, and the United Kingdom to learn the truth about bin Laden's al Queda organization and his mission.  Immense in scope and unnerving in its findings, Holy War, Inc. reveals:   How bin Laden lives, travels, and communicates with his ""cells."" How his role in the crushing defeat of the Soviet Union in Afghanistan made him a hero to Muslims all over the world -- and equipped him to endure a long and bloody siege. How the CIA ended up funding -- to the tune of three billion dollars -- radical, anti-American Afghan groups allied to bin Laden. How the attacks that foreshadowed the destruction of the World Trade Center -- among them the bombings of the American embassies in Africa and the warship USS Cole in Yemen -- were planned and executed. The dimensions of bin Laden's personal fortune, and why freezing his assets is both futile and nearly impossible. The ideology of bin Laden's number two, the man who has influenced him most profoundly in his holy war -- the Egyptian Ayman al Zawahiri. What we can expect from Islamist extremists in the future.   Above all, Peter Bergen helps us to see bin Laden's organization in a radically new light: as a veritable corporation that has exploited twenty-first-century communications and weapons technologies in the service of a medieval reading of the Koran and holy war. Holy War, Inc. is essential reading for anyone trying to understand tomorrow's terrorist threats and the militant Islamist movements that could determine the fate of governments -- and human lives -- the world over.  Both author and publisher will donate a portion of the proceeds from this book to United Way's September 11th Fund for the relief of victims of the World Trade Center attacks."," Political Science , International Relations , General",Free Press,4.99,November,2001
Flavor,"By DiSpirito, Rocco, Leutwyler, Henry, and Sherer, Kris","""Knockout dining"" leaves fans breathless at this Gramercy New American ""paragon"" where ""rock star"" chef Rocco DiSpirito produces ""sublime,"" ""synergistic"" dishes. --Zagat, on Rocco DiSpirito's restaurant Union Pacific He runs one of the most successful restaurants in New York City. He is seen everywhere from David Letterman toGood Morning America to the Food Network. He has graced the cover of Gourmet magazine as ""America's Most Exciting Young Chef""--and Zagat calls him a ""rock star."" Now, Rocco DiSpirito unleashes his culinary magic withFlavor. In Flavor, DiSpirito shows readers how to create bold, intriguingly delicious food through combinations of ingredients both mundane and exotic. The cuisine is sophisticated but surprisingly easy for home chefs to replicate. Using the four flavors (sour, sweet, bitter, and salty) as basic building blocks, Rocco demonstrates how to combine and commingle flavors to create one-of-a-kind dishes. Some recipes included inFlavor are:Lemongrass Lobster Salad Baby Lettuces with Pickled Squash Blossoms and Yogurt-Tahini Vinaigrette Calamari with Coconut Curry and Green Papaya Braised Veal Roulade with Root Vegetables Cinnamon Glazed Duck Lavender Creme Brulee Peach-Phyllo Strudel with Goat Cheese Cream and much more"," Cooking , Courses & Dishes , General",Hyperion,7.45,November,2003
Cinderella Cinderella Mini Book: Mini version (Fay's Fairy Tales),"By Wegman, William, Kismaric, Carole, and Heiferman, Marvin","In her haste to flee the palace before her fairy godmother's magic loses effect, Cinderella leaves behind a glass slipper, in a retelling of the story that features dogs portraying the main characters"," Juvenile Fiction , Fairy Tales & Folklore , General",Hyperion Books For Children,5.29,October,1999
After the Boxes Are Unpacked,"By Miller, Susan","More than 40 million Americans move each year, and studies show it can be one of the heaviest strains on a marriage. For women especially, relocating can be a traumatic event. With true stories, ingenious insights, and helpful hints, this great book makes transitioning smoother so women can get on with their lives. Those who are moving will find this valuable book as important as packing tape."," Religion , Christian Living , Women's Interests",Focus on the Family,4.99,April,1998
The Big Book of Gardening Skills,By Gardenway Book (EDT),"Experienced masters give their tips and techniques on garden basics, flowers and vegetables, pest and disease control, attracting birds and butterflies, and equipment"," Gardening , Reference",Garden Way Pub Co,10.99,February,1993
Eakins,"By Schendler, Sylvan",,,Little Brown,6.83,January,1967
Race relations (Prentice-Hall sociology series),"By Kitano, Harry H. L.",,,Prentice Hall,4.99,January,1974
The Washington ethnic food store guide,"By Lawson, Jim C",,,Ardmore Publications,12.99,January,1992
Reflections in a Glass Eye: Works from the International Center of Photography Collection,"By International Center of Photography (PHT), Hollander, Anne (EDT), Handy, Ellen (EDT), and Handy, Ellen","A stunning celebration of the artistry and diversity of the photographic medium showcases the talents of Margaret Bourke-White, Richard Avedon, Henri Cartier-Bresson, Irving Penn, Cindy Sherman, and other remarkable photographers. 12,500 first printing."," Photography , General",Bulfinch Pr,8.08,January,1999
Getting Started in Powerboating,"By Armstrong, Bob","Get the most from your new powerboat from day one!There’s nothing like the thrill of skimming over the waves at the helm of a fast powerboat. And the thrill is even greater when you’re driving the boat that’s right for you and handling it with skill and confidence. This third edition of Getting Started in Powerboating gives you all the information you need to select the boat of your dreams, maneuver it like a master, and understand the rules and conventions of powerboating.Thoroughly updated with new developments and technologies, this new edition of the bestselling guide in its field covers all powerboats—big and small; single-engine, twin-engine, outboard, and sterndrive; trailerable and nontrailerable. You’ll discover the difference between a planing hull and a displacement hull, learn to compensate for the effects of wind and current, and master high-speed techniques. Plus this third edition features new photographs that illustrate key techniques and maneuvering sequences, including turning, backing, docking, and more. Must-have information includes:The latest on four-stroke outboardsJack plates, jet drives, and bow thrusters Piloting and navigation basics Anchors and anchoring techniquesAn updated market survey of popular powerboats State licensing requirements"," Sports & Recreation , Boating",International Marine/Ragged Mountain Press,5.29,May,2005
